Chytrid	Treatment	Conc	0	1	3	5	7	slope	s-neg	Growth	Keep
Bsal	Bti	40	0.026	0.04	0.11	0.262		0.047084746	0.027282889	0.566255978	Y
Bsal	Bti	40	0.03	0.073	0.364	0.365		0.07579661	0.055994754	1.162170311	Y
Bsal	Bti	40	0.024	0.127	0.211	0.414		0.073491525	0.053689669	1.114328311	Y
Bsal	Bti	40	0.026	0.067	0.084	0.321		0.054474576	0.03467272	0.719631804	Y
Bsal	Bti	40	0.034	0.149	0.191	0.477		0.080830508	0.061028652	1.266648799	Y
Bsal	Bti	30	0.019	0.094	0.162	0.454		0.082016949	0.062215093	1.291273358	Y
Bsal	Bti	30	0.014	0.022	0.043	0.313		0.056542373	0.036740517	0.762548893	Y
Bsal	Bti	30	0.024	0.037	0.075	0.325		0.057610169	0.037808313	0.784710996	Y
Bsal	Bti	30	0.021	0.042	0.277	0.311		0.065305085	0.045503228	0.944418852	Y
Bsal	Bti	30	0.066	0.056	0.191	0.402		0.069847458	0.050045601	1.038695736	Y
